,zillow_zip,zillow_month_day,zillow_rent_value_index,zillow_month
8356,10001,2020-01-31,4212.175002891772,2020-01
8498,10001,2020-02-29,4222.0154562126945,2020-02
8640,10001,2020-03-31,4258.322647178412,2020-03
8782,10001,2020-04-30,4241.811681140885,2020-04
8924,10001,2020-05-31,4178.641007862865,2020-05
9066,10001,2020-06-30,4083.128958795792,2020-06
9208,10001,2020-07-31,3940.907890160759,2020-07
9350,10001,2020-08-31,3762.4771978401836,2020-08
9492,10001,2020-09-30,3603.3120424112426,2020-09
9634,10001,2020-10-31,3497.8783490990413,2020-10
9776,10001,2020-11-30,3451.7300712044985,2020-11
9918,10001,2020-12-31,3435.641303943674,2020-12
10060,10001,2021-01-31,3457.328918569462,2021-01
10202,10001,2021-02-28,3495.320462004353,2021-02
10344,10001,2021-03-31,3553.036483104363,2021-03
10486,10001,2021-04-30,3692.223638813056,2021-04
10628,10001,2021-05-31,3856.682240171588,2021-05
10770,10001,2021-06-30,4057.6535643956267,2021-06
10912,10001,2021-07-31,4253.323420101623,2021-07
11054,10001,2021-08-31,4417.8890855004265,2021-08
11196,10001,2021-09-30,4583.279327522021,2021-09
11338,10001,2021-10-31,4627.138516476015,2021-10
11480,10001,2021-11-30,4660.626472556407,2021-11
11622,10001,2021-12-31,4648.038222410056,2021-12
11764,10001,2022-01-31,4654.25950323424,2022-01
11906,10001,2022-02-28,4732.1862992486385,2022-02
12048,10001,2022-03-31,4750.945877868424,2022-03
12190,10001,2022-04-30,4797.926786979903,2022-04
12332,10001,2022-05-31,4847.662133797806,2022-05
12474,10001,2022-06-30,5005.9417336423685,2022-06
12616,10001,2022-07-31,5151.878483275503,2022-07
12758,10001,2022-08-31,5196.695502129676,2022-08
12900,10001,2022-09-30,5149.945940110865,2022-09
13042,10001,2022-10-31,5071.489976366486,2022-10
13184,10001,2022-11-30,4976.178069806093,2022-11
13326,10001,2022-12-31,4844.33862093782,2022-12
13468,10001,2023-01-31,4765.817730073543,2023-01
35,10002,2015-03-31,2875.605271893694,2015-03
177,10002,2015-04-30,2895.070562501368,2015-04
319,10002,2015-05-31,2919.5532721397803,2015-05
461,10002,2015-06-30,2936.560405991034,2015-06
603,10002,2015-07-31,2959.897007419396,2015-07
745,10002,2015-08-31,2982.8790439812346,2015-08
887,10002,2015-09-30,2993.9778666063735,2015-09
1029,10002,2015-10-31,2973.077333117281,2015-10
1171,10002,2015-11-30,2929.926972402811,2015-11
1313,10002,2015-12-31,2920.658539068051,2015-12
1455,10002,2016-01-31,2914.9126144612715,2016-01
1597,10002,2016-02-29,2940.6278295988645,2016-02
1739,10002,2016-03-31,2951.273036624726,2016-03
1881,10002,2016-04-30,2971.4671728076123,2016-04
2023,10002,2016-05-31,2985.565721204205,2016-05
2165,10002,2016-06-30,3016.3340839939174,2016-06
2307,10002,2016-07-31,3039.161281737656,2016-07
2449,10002,2016-08-31,3058.5406754269343,2016-08
2591,10002,2016-09-30,3046.304804357005,2016-09
2733,10002,2016-10-31,3038.825261369563,2016-10
2875,10002,2016-11-30,2994.349731271133,2016-11
3017,10002,2016-12-31,2992.7454130209007,2016-12
3159,10002,2017-01-31,2963.6494877562322,2017-01
3301,10002,2017-02-28,3012.8301008970616,2017-02
3443,10002,2017-03-31,3018.1770232211097,2017-03
3585,10002,2017-04-30,3046.6496951312365,2017-04
