,zillow_zip,zillow_month_day,zillow_rent_value_index,zillow_month
435,10002,5/31/2015,2919.553272,2015-05
2835,10002,5/31/2016,2985.565721,2016-05
5235,10002,5/31/2017,3048.648547,2017-05
7635,10002,5/31/2018,3113.506538,2018-05
10035,10002,5/31/2019,3164.163268,2019-05
12435,10002,5/31/2020,3191.025381,2020-05
14835,10002,5/31/2021,2822.753023,2021-05
17235,10002,5/31/2022,3700.8405799999996,2022-05
635,10002,6/30/2015,2936.560406,2015-06
3035,10002,6/30/2016,3016.334084,2016-06
5435,10002,6/30/2017,3063.2002780000003,2017-06
7835,10002,6/30/2018,3130.6223,2018-06
10235,10002,6/30/2019,3199.912986,2019-06
12635,10002,6/30/2020,3143.493372,2020-06
15035,10002,6/30/2021,2962.7950760000003,2021-06
17435,10002,6/30/2022,3776.891321,2022-06
835,10002,7/31/2015,2959.897007,2015-07
3235,10002,7/31/2016,3039.161282,2016-07
5635,10002,7/31/2017,3082.9226350000004,2017-07
8035,10002,7/31/2018,3147.1334030000003,2018-07
10435,10002,7/31/2019,3229.084934,2019-07
12835,10002,7/31/2020,3073.974547,2020-07
15235,10002,7/31/2021,3116.111241,2021-07
17635,10002,7/31/2022,3833.777153,2022-07
1035,10002,8/31/2015,2982.8790440000002,2015-08
3435,10002,8/31/2016,3058.540675,2016-08
5835,10002,8/31/2017,3084.663018,2017-08
8235,10002,8/31/2018,3153.915208,2018-08
10635,10002,8/31/2019,3238.6716260000003,2019-08
13035,10002,8/31/2020,2963.843883,2020-08
15435,10002,8/31/2021,3249.984578,2021-08
17835,10002,8/31/2022,3865.4550299999996,2022-08
1235,10002,9/30/2015,2993.977867,2015-09
3635,10002,9/30/2016,3046.304804,2016-09
6035,10002,9/30/2017,3068.477194,2017-09
8435,10002,9/30/2018,3142.768136,2018-09
10835,10002,9/30/2019,3257.3526039999997,2019-09
13235,10002,9/30/2020,2841.011806,2020-09
15635,10002,9/30/2021,3341.505615,2021-09
18035,10002,9/30/2022,3859.836636,2022-09
2063,10003,1/31/2016,3289.799831,2016-01
4463,10003,1/31/2017,3301.3152649999997,2017-01
6863,10003,1/31/2018,3297.216542,2018-01
9263,10003,1/31/2019,3450.070468,2019-01
11663,10003,1/31/2020,3522.7257130000003,2020-01
14063,10003,1/31/2021,2882.255902,2021-01
16463,10003,1/31/2022,3852.7553159999998,2022-01
18863,10003,1/31/2023,4165.333944,2023-01
1463,10003,10/31/2015,3337.718425,2015-10
3863,10003,10/31/2016,3369.692986,2016-10
6263,10003,10/31/2017,3420.674925,2017-10
8663,10003,10/31/2018,3480.016765,2018-10
11063,10003,10/31/2019,3581.007358,2019-10
13463,10003,10/31/2020,3014.316906,2020-10
15863,10003,10/31/2021,3759.711301,2021-10
18263,10003,10/31/2022,4229.178607,2022-10
1663,10003,11/30/2015,3307.081556,2015-11
4063,10003,11/30/2016,3342.980789,2016-11
6463,10003,11/30/2017,3382.0606420000004,2017-11
8863,10003,11/30/2018,3483.3762829999996,2018-11
11263,10003,11/30/2019,3556.220311,2019-11
13663,10003,11/30/2020,2933.695359,2020-11
16063,10003,11/30/2021,3761.8551090000005,2021-11
18463,10003,11/30/2022,4219.254753,2022-11
1863,10003,12/31/2015,3293.129563,2015-12
4263,10003,12/31/2016,3305.781614,2016-12
6663,10003,12/31/2017,3325.010146,2017-12
9063,10003,12/31/2018,3471.7200270000003,2018-12
11463,10003,12/31/2019,3541.203737,2019-12
13863,10003,12/31/2020,2877.678865,2020-12
16263,10003,12/31/2021,3806.788229,2021-12
18663,10003,12/31/2022,4167.619416,2022-12
4663,10003,2/28/2017,3304.003365,2017-02
7063,10003,2/28/2018,3302.617871,2018-02
9463,10003,2/28/2019,3426.9222590000004,2019-02
14263,10003,2/28/2021,2902.343161,2021-02
16663,10003,2/28/2022,3947.10175,2022-02
2263,10003,2/29/2016,3298.06277,2016-02
11863,10003,2/29/2020,3545.202193,2020-02
63,10003,3/31/2015,3231.429497,2015-03
2463,10003,3/31/2016,3325.643966,2016-03
4863,10003,3/31/2017,3327.409356,2017-03
7263,10003,3/31/2018,3345.4270309999997,2018-03
9663,10003,3/31/2019,3446.1604270000003,2019-03
12063,10003,3/31/2020,3573.6009369999997,2020-03
14463,10003,3/31/2021,2962.709481,2021-03
16863,10003,3/31/2022,4031.5796729999997,2022-03
263,10003,4/30/2015,3285.429322,2015-04
2663,10003,4/30/2016,3325.43549,2016-04
5063,10003,4/30/2017,3371.180252,2017-04
7463,10003,4/30/2018,3373.329464,2018-04
9863,10003,4/30/2019,3487.371883,2019-04
12263,10003,4/30/2020,3558.8584939999996,2020-04
14663,10003,4/30/2021,3012.728571,2021-04
17063,10003,4/30/2022,4109.647007,2022-04
463,10003,5/31/2015,3331.864929,2015-05
2863,10003,5/31/2016,3362.993564,2016-05
5263,10003,5/31/2017,3401.714304,2017-05
7663,10003,5/31/2018,3417.9588240000003,2018-05
10063,10003,5/31/2019,3519.329139,2019-05
12463,10003,5/31/2020,3512.70726,2020-05
14863,10003,5/31/2021,3132.5405769999998,2021-05
17263,10003,5/31/2022,4158.315056,2022-05
663,10003,6/30/2015,3345.322634,2015-06
3063,10003,6/30/2016,3381.3811590000005,2016-06
5463,10003,6/30/2017,3435.604798,2017-06
7863,10003,6/30/2018,3445.3821299999995,2018-06
10263,10003,6/30/2019,3538.1981560000004,2019-06
12663,10003,6/30/2020,3441.358506,2020-06
15063,10003,6/30/2021,3272.868157,2021-06
17463,10003,6/30/2022,4218.191237,2022-06
863,10003,7/31/2015,3353.124258,2015-07
3263,10003,7/31/2016,3412.6837179999998,2016-07
5663,10003,7/31/2017,3438.304128,2017-07
8063,10003,7/31/2018,3472.575906,2018-07
10463,10003,7/31/2019,3561.312379,2019-07
12863,10003,7/31/2020,3374.5125270000003,2020-07
15263,10003,7/31/2021,3448.285328,2021-07
17663,10003,7/31/2022,4260.949013,2022-07
1063,10003,8/31/2015,3361.349185,2015-08
3463,10003,8/31/2016,3412.359416,2016-08
5863,10003,8/31/2017,3439.190892,2017-08
8263,10003,8/31/2018,3489.6774520000004,2018-08
10663,10003,8/31/2019,3578.9524020000003,2019-08
13063,10003,8/31/2020,3257.227824,2020-08
15463,10003,8/31/2021,3597.791181,2021-08
17863,10003,8/31/2022,4291.078587,2022-08
1263,10003,9/30/2015,3352.003227,2015-09
3663,10003,9/30/2016,3407.1857240000004,2016-09
6063,10003,9/30/2017,3429.350896,2017-09
8463,10003,9/30/2018,3492.986419,2018-09
10863,10003,9/30/2019,3577.474681,2019-09
13263,10003,9/30/2020,3142.021686,2020-09
15663,10003,9/30/2021,3688.3806170000003,2021-09
18063,10003,9/30/2022,4275.60874,2022-09
2137,10004,1/31/2016,3211.703447,2016-01
4537,10004,1/31/2017,3223.503064,2017-01
6937,10004,1/31/2018,3152.083559,2018-01
9337,10004,1/31/2019,3206.083858,2019-01
11737,10004,1/31/2020,3343.986839,2020-01
14137,10004,1/31/2021,2592.286564,2021-01
16537,10004,1/31/2022,3718.9703340000005,2022-01
18937,10004,1/31/2023,3933.888889,2023-01
1537,10004,10/31/2015,3298.539825,2015-10
3937,10004,10/31/2016,3119.737154,2016-10
6337,10004,10/31/2017,3239.4141649999997,2017-10
8737,10004,10/31/2018,3308.720467,2018-10
11137,10004,10/31/2019,3443.117736,2019-10
13537,10004,10/31/2020,2788.04695,2020-10
15937,10004,10/31/2021,3669.6201149999997,2021-10
18337,10004,10/31/2022,4051.074528,2022-10
1737,10004,11/30/2015,3357.449649,2015-11
4137,10004,11/30/2016,3151.24965,2016-11
6537,10004,11/30/2017,3173.270564,2017-11
8937,10004,11/30/2018,3276.206182,2018-11
11337,10004,11/30/2019,3400.2734909999995,2019-11
13737,10004,11/30/2020,2676.9261460000002,2020-11
16137,10004,11/30/2021,3724.298176,2021-11
18537,10004,11/30/2022,4017.1921490000004,2022-11
1937,10004,12/31/2015,3307.053917,2015-12
4337,10004,12/31/2016,3171.021539,2016-12
6737,10004,12/31/2017,3150.130018,2017-12
9137,10004,12/31/2018,3204.677793,2018-12
11537,10004,12/31/2019,3380.9083600000004,2019-12
13937,10004,12/31/2020,2629.027399,2020-12
16337,10004,12/31/2021,3652.953901,2021-12
18737,10004,12/31/2022,3903.592887,2022-12
4737,10004,2/28/2017,3231.229563,2017-02
7137,10004,2/28/2018,3182.456175,2018-02
9537,10004,2/28/2019,3214.524699,2019-02
14337,10004,2/28/2021,2637.0780010000003,2021-02
16737,10004,2/28/2022,3772.059875,2022-02
2337,10004,2/29/2016,3069.4630079999997,2016-02
11937,10004,2/29/2020,3386.0596,2020-02
137,10004,3/31/2015,3091.5947100000003,2015-03
2537,10004,3/31/2016,3098.105945,2016-03
4937,10004,3/31/2017,3194.016929,2017-03
7337,10004,3/31/2018,3149.806113,2018-03
9737,10004,3/31/2019,3227.296668,2019-03
12137,10004,3/31/2020,3348.6347149999997,2020-03
14537,10004,3/31/2021,2744.0679999999998,2021-03
16937,10004,3/31/2022,3902.302293,2022-03
337,10004,4/30/2015,3146.061592,2015-04
2737,10004,4/30/2016,3174.543111,2016-04
5137,10004,4/30/2017,3173.724284,2017-04
7537,10004,4/30/2018,3140.402079,2018-04
9937,10004,4/30/2019,3280.503803,2019-04
12337,10004,4/30/2020,3329.1484809999997,2020-04
14737,10004,4/30/2021,2868.5464629999997,2021-04
17137,10004,4/30/2022,3881.6399530000003,2022-04
537,10004,5/31/2015,3143.128249,2015-05
2937,10004,5/31/2016,3251.546038,2016-05
5337,10004,5/31/2017,3197.06088,2017-05
7737,10004,5/31/2018,3153.026702,2018-05
10137,10004,5/31/2019,3329.338261,2019-05
12537,10004,5/31/2020,3258.271196,2020-05
14937,10004,5/31/2021,3011.7850780000003,2021-05
17337,10004,5/31/2022,3998.1006450000004,2022-05
737,10004,6/30/2015,3145.816504,2015-06
3137,10004,6/30/2016,3223.300338,2016-06
5537,10004,6/30/2017,3196.620156,2017-06
7937,10004,6/30/2018,3200.976482,2018-06
10337,10004,6/30/2019,3410.1001539999997,2019-06
12737,10004,6/30/2020,3238.696275,2020-06
15137,10004,6/30/2021,3125.061731,2021-06
17537,10004,6/30/2022,4099.787711999999,2022-06
937,10004,7/31/2015,3168.455236,2015-07
3337,10004,7/31/2016,3225.874175,2016-07
5737,10004,7/31/2017,3259.336275,2017-07
8137,10004,7/31/2018,3270.233302,2018-07
10537,10004,7/31/2019,3431.138663,2019-07
12937,10004,7/31/2020,3206.378902,2020-07
15337,10004,7/31/2021,3360.561276,2021-07
17737,10004,7/31/2022,4207.987221,2022-07
1137,10004,8/31/2015,3233.205953,2015-08
3537,10004,8/31/2016,3225.920823,2016-08
5937,10004,8/31/2017,3277.400658,2017-08
8337,10004,8/31/2018,3286.882944,2018-08
10737,10004,8/31/2019,3461.392786,2019-08
13137,10004,8/31/2020,3104.626159,2020-08
15537,10004,8/31/2021,3477.594041,2021-08
17937,10004,8/31/2022,4193.53298,2022-08
1337,10004,9/30/2015,3300.633929,2015-09
3737,10004,9/30/2016,3247.16678,2016-09
6137,10004,9/30/2017,3301.158182,2017-09
8537,10004,9/30/2018,3315.291166,2018-09
10937,10004,9/30/2019,3468.845379,2019-09
13337,10004,9/30/2020,2959.1895059999997,2020-09
15737,10004,9/30/2021,3657.7409340000004,2021-09
18137,10004,9/30/2022,4148.146671,2022-09
2134,10005,1/31/2016,3338.786618,2016-01
4534,10005,1/31/2017,3328.627874,2017-01
6934,10005,1/31/2018,3359.6886240000003,2018-01
9334,10005,1/31/2019,3546.840079,2019-01
11734,10005,1/31/2020,3622.3596700000003,2020-01
14134,10005,1/31/2021,3148.372048,2021-01
16534,10005,1/31/2022,3966.8834030000003,2022-01
18934,10005,1/31/2023,4209.386782,2023-01
