,zillow_zip,zillow_month_day,zillow_sales_value_index,zillow_month
17981,11208,2018-06-30,473074.0727849064,2018-06
18159,11208,2018-07-31,477434.28246764117,2018-07
18337,11208,2018-08-31,482245.6449224306,2018-08
18515,11208,2018-09-30,487475.90432836115,2018-09
18693,11208,2018-10-31,490503.9890570557,2018-10
18871,11208,2018-11-30,493523.5797152678,2018-11
19049,11208,2018-12-31,496272.21408773214,2018-12
19227,11208,2019-01-31,502285.57517091813,2019-01
19405,11208,2019-02-28,510161.7516950399,2019-02
19583,11208,2019-03-31,520633.1303589007,2019-03
19761,11208,2019-04-30,528359.8807196072,2019-04
19939,11208,2019-05-31,533129.3485866275,2019-05
20117,11208,2019-06-30,537949.9338716306,2019-06
20295,11208,2019-07-31,543316.887489568,2019-07
20473,11208,2019-08-31,549208.5883971597,2019-08
20651,11208,2019-09-30,553534.1977942347,2019-09
20829,11208,2019-10-31,557950.8284424827,2019-10
21007,11208,2019-11-30,563861.9110455628,2019-11
21185,11208,2019-12-31,569014.7710803193,2019-12
21363,11208,2020-01-31,572030.7996892943,2020-01
21541,11208,2020-02-29,572302.8747316612,2020-02
21719,11208,2020-03-31,573889.2134299943,2020-03
21897,11208,2020-04-30,576712.7336918768,2020-04
22075,11208,2020-05-31,580497.3461317304,2020-05
22253,11208,2020-06-30,581731.3753248769,2020-06
22431,11208,2020-07-31,580730.6615708097,2020-07
22609,11208,2020-08-31,578453.5902432789,2020-08
22787,11208,2020-09-30,577043.5017119907,2020-09
22965,11208,2020-10-31,576501.6684073742,2020-10
23143,11208,2020-11-30,577123.2743325989,2020-11
23321,11208,2020-12-31,578384.0193629847,2020-12
23499,11208,2021-01-31,580438.4782845675,2021-01
23677,11208,2021-02-28,583580.967959568,2021-02
23855,11208,2021-03-31,587359.7259789639,2021-03
24033,11208,2021-04-30,592404.6021524008,2021-04
24211,11208,2021-05-31,597223.9152015847,2021-05
24389,11208,2021-06-30,599710.5707444956,2021-06
24567,11208,2021-07-31,601369.008559577,2021-07
24745,11208,2021-08-31,601902.0653002894,2021-08
24923,11208,2021-09-30,604778.3115249829,2021-09
25101,11208,2021-10-31,609543.4490594823,2021-10
25279,11208,2021-11-30,615685.1299665106,2021-11
25457,11208,2021-12-31,620560.3298778008,2021-12
25635,11208,2022-01-31,622837.7352355861,2022-01
25813,11208,2022-02-28,623651.327712574,2022-02
25991,11208,2022-03-31,625029.0578081978,2022-03
26169,11208,2022-04-30,627306.4444612243,2022-04
26347,11208,2022-05-31,631475.8888597664,2022-05
26525,11208,2022-06-30,636563.1729333085,2022-06
26703,11208,2022-07-31,640143.8155581913,2022-07
26881,11208,2022-08-31,641096.0051125038,2022-08
27059,11208,2022-09-30,638876.8483766097,2022-09
27237,11208,2022-10-31,636711.0510956502,2022-10
27415,11208,2022-11-30,634636.871669958,2022-11
27593,11208,2022-12-31,631912.7253105153,2022-12
27771,11208,2023-01-31,631764.2949632558,2023-01
45,11209,2010-01-31,254022.8215106455,2010-01
223,11209,2010-02-28,256895.77424097122,2010-02
401,11209,2010-03-31,257505.9030263548,2010-03
579,11209,2010-04-30,257462.1725330192,2010-04
757,11209,2010-05-31,257411.2719626477,2010-05
935,11209,2010-06-30,259156.2249232043,2010-06
1113,11209,2010-07-31,261808.39896733692,2010-07
1291,11209,2010-08-31,263629.36494387244,2010-08
1469,11209,2010-09-30,264909.784725254,2010-09
1647,11209,2010-10-31,265143.2685855276,2010-10
1825,11209,2010-11-30,264439.96066999296,2010-11
2003,11209,2010-12-31,262739.02529803803,2010-12
2181,11209,2011-01-31,260452.45474314145,2011-01
2359,11209,2011-02-28,257621.78844553352,2011-02
2537,11209,2011-03-31,258023.5478270984,2011-03
2715,11209,2011-04-30,259613.1053922273,2011-04
2893,11209,2011-05-31,261662.75477943415,2011-05
3071,11209,2011-06-30,261027.37983276282,2011-06
3249,11209,2011-07-31,259056.74866565363,2011-07
3427,11209,2011-08-31,257561.11222945488,2011-08
3605,11209,2011-09-30,257632.2982646689,2011-09
3783,11209,2011-10-31,258863.93489085048,2011-10
3961,11209,2011-11-30,260522.1767937605,2011-11
4139,11209,2011-12-31,261637.47538609922,2011-12
4317,11209,2012-01-31,262439.60679551767,2012-01
4495,11209,2012-02-29,263454.38100253674,2012-02
4673,11209,2012-03-31,264560.94084155944,2012-03
4851,11209,2012-04-30,266029.2910973146,2012-04
5029,11209,2012-05-31,267960.1987665359,2012-05
5207,11209,2012-06-30,269800.5453345836,2012-06
5385,11209,2012-07-31,271254.02727094264,2012-07
5563,11209,2012-08-31,271915.6419731225,2012-08
5741,11209,2012-09-30,272819.09843273694,2012-09
5919,11209,2012-10-31,272963.1081090357,2012-10
6097,11209,2012-11-30,273444.81993847404,2012-11
6275,11209,2012-12-31,273519.5736296531,2012-12
6453,11209,2013-01-31,274230.96287507075,2013-01
6631,11209,2013-02-28,275231.46949800174,2013-02
6809,11209,2013-03-31,276333.22410969785,2013-03
6987,11209,2013-04-30,277807.60047024296,2013-04
7165,11209,2013-05-31,279115.13529010955,2013-05
7343,11209,2013-06-30,280848.7774484437,2013-06
7521,11209,2013-07-31,282574.2149772048,2013-07
7699,11209,2013-08-31,284294.6567221922,2013-08
7877,11209,2013-09-30,285927.7764530109,2013-09
8055,11209,2013-10-31,286322.5522966664,2013-10
8233,11209,2013-11-30,286609.0205466884,2013-11
8411,11209,2013-12-31,286517.90634716634,2013-12
8589,11209,2014-01-31,287244.4508739448,2014-01
8767,11209,2014-02-28,288785.41316348076,2014-02
8945,11209,2014-03-31,291477.1097824513,2014-03
9123,11209,2014-04-30,295495.24804369523,2014-04
9301,11209,2014-05-31,299761.47581693536,2014-05
9479,11209,2014-06-30,303347.621939194,2014-06
9657,11209,2014-07-31,305743.9884587117,2014-07
9835,11209,2014-08-31,306438.1286274517,2014-08
10013,11209,2014-09-30,307370.6818439841,2014-09
10191,11209,2014-10-31,307860.51016739913,2014-10
10369,11209,2014-11-30,309505.17634099803,2014-11
10547,11209,2014-12-31,311059.78126758104,2014-12
10725,11209,2015-01-31,313244.0808842398,2015-01
10903,11209,2015-02-28,315260.9956586141,2015-02
11081,11209,2015-03-31,317130.566874665,2015-03
11259,11209,2015-04-30,320085.5219411094,2015-04
11437,11209,2015-05-31,323589.08407636505,2015-05
11615,11209,2015-06-30,327122.8247859976,2015-06
11793,11209,2015-07-31,329685.60450191115,2015-07
11971,11209,2015-08-31,332300.326379948,2015-08
12149,11209,2015-09-30,335535.40780756646,2015-09
12327,11209,2015-10-31,339227.51361406344,2015-10
12505,11209,2015-11-30,343041.93509900075,2015-11
12683,11209,2015-12-31,348201.0225551505,2015-12
12861,11209,2016-01-31,353719.430271619,2016-01
13039,11209,2016-02-29,358839.55015791906,2016-02
13217,11209,2016-03-31,362555.772745743,2016-03
13395,11209,2016-04-30,366575.3225123871,2016-04
13573,11209,2016-05-31,370705.87261367386,2016-05
13751,11209,2016-06-30,374825.3968622422,2016-06
13929,11209,2016-07-31,378807.8456690232,2016-07
14107,11209,2016-08-31,382519.0432242013,2016-08
14285,11209,2016-09-30,384501.84295059217,2016-09
14463,11209,2016-10-31,385317.0223587867,2016-10
14641,11209,2016-11-30,387218.9697624439,2016-11
14819,11209,2016-12-31,392196.5876449961,2016-12
14997,11209,2017-01-31,397642.33497951954,2017-01
15175,11209,2017-02-28,403943.83573049563,2017-02
15353,11209,2017-03-31,411025.2655474449,2017-03
15531,11209,2017-04-30,420240.11758312397,2017-04
15709,11209,2017-05-31,426588.9532120891,2017-05
15887,11209,2017-06-30,429805.4273399771,2017-06
16065,11209,2017-07-31,429261.82310774096,2017-07
16243,11209,2017-08-31,429220.9152132305,2017-08
16421,11209,2017-09-30,429098.5251863261,2017-09
16599,11209,2017-10-31,433846.96646712633,2017-10
16777,11209,2017-11-30,439475.2359852653,2017-11
16955,11209,2017-12-31,447753.003382101,2017-12
17133,11209,2018-01-31,455496.64733594214,2018-01
17311,11209,2018-02-28,461456.2325316984,2018-02
17489,11209,2018-03-31,465472.9515170182,2018-03
17667,11209,2018-04-30,469154.02627815795,2018-04
17845,11209,2018-05-31,473415.33648500725,2018-05
18023,11209,2018-06-30,478362.5463761586,2018-06
18201,11209,2018-07-31,483162.20490572345,2018-07
18379,11209,2018-08-31,489630.746668924,2018-08
18557,11209,2018-09-30,498312.4385847232,2018-09
18735,11209,2018-10-31,503970.19884576154,2018-10
18913,11209,2018-11-30,505632.0061897761,2018-11
19091,11209,2018-12-31,503012.56800897594,2018-12
19269,11209,2019-01-31,498814.7313665575,2019-01
19447,11209,2019-02-28,496747.9881064982,2019-02
19625,11209,2019-03-31,492680.2481306849,2019-03
19803,11209,2019-04-30,487794.640816161,2019-04
19981,11209,2019-05-31,480958.2514700393,2019-05
20159,11209,2019-06-30,475283.5108109098,2019-06
20337,11209,2019-07-31,473044.36443232227,2019-07
20515,11209,2019-08-31,471532.9241758646,2019-08
20693,11209,2019-09-30,469790.4771644546,2019-09
20871,11209,2019-10-31,467120.7984863015,2019-10
21049,11209,2019-11-30,467952.3285251272,2019-11
21227,11209,2019-12-31,467953.88269461977,2019-12
21405,11209,2020-01-31,468138.16369545547,2020-01
21583,11209,2020-02-29,465048.44427885156,2020-02
21761,11209,2020-03-31,463400.8448294274,2020-03
21939,11209,2020-04-30,461450.91573114897,2020-04
22117,11209,2020-05-31,459511.84825260454,2020-05
22295,11209,2020-06-30,458451.34232070344,2020-06
22473,11209,2020-07-31,457650.40914445603,2020-07
22651,11209,2020-08-31,457807.3994736962,2020-08
22829,11209,2020-09-30,461068.2904548717,2020-09
23007,11209,2020-10-31,465182.6057438901,2020-10
23185,11209,2020-11-30,469361.3343969577,2020-11
23363,11209,2020-12-31,470986.4830168553,2020-12
23541,11209,2021-01-31,470016.9062361542,2021-01
23719,11209,2021-02-28,470828.1467052062,2021-02
23897,11209,2021-03-31,473415.9640236972,2021-03
24075,11209,2021-04-30,477457.2594026518,2021-04
24253,11209,2021-05-31,480320.7830497357,2021-05
24431,11209,2021-06-30,480157.53551824956,2021-06
24609,11209,2021-07-31,477798.303023454,2021-07
24787,11209,2021-08-31,471946.0488291376,2021-08
24965,11209,2021-09-30,463425.3097211444,2021-09
25143,11209,2021-10-31,457189.93742952344,2021-10
25321,11209,2021-11-30,454018.10834718344,2021-11
25499,11209,2021-12-31,452924.91014488635,2021-12
25677,11209,2022-01-31,452612.35373312904,2022-01
25855,11209,2022-02-28,452990.50695417094,2022-02
26033,11209,2022-03-31,456620.7127298661,2022-03
26211,11209,2022-04-30,458947.19318376295,2022-04
26389,11209,2022-05-31,461088.78723091783,2022-05
26567,11209,2022-06-30,461491.0883794615,2022-06
26745,11209,2022-07-31,459883.6735159787,2022-07
26923,11209,2022-08-31,454324.1183218933,2022-08
27101,11209,2022-09-30,445548.2209145103,2022-09
27279,11209,2022-10-31,438172.77867743705,2022-10
27457,11209,2022-11-30,431929.4553073656,2022-11
27635,11209,2022-12-31,424726.3431921607,2022-12
27813,11209,2023-01-31,419161.2996545755,2023-01
44,11210,2010-01-31,331685.8433359649,2010-01
222,11210,2010-02-28,332441.54298235866,2010-02
400,11210,2010-03-31,331741.8398326934,2010-03
578,11210,2010-04-30,330639.3289875382,2010-04
756,11210,2010-05-31,329589.45553124987,2010-05
934,11210,2010-06-30,329963.52496764105,2010-06
1112,11210,2010-07-31,331378.23536915646,2010-07
1290,11210,2010-08-31,331551.7479969764,2010-08
1468,11210,2010-09-30,331008.039853307,2010-09
1646,11210,2010-10-31,329821.83797110827,2010-10
1824,11210,2010-11-30,328824.6532577992,2010-11
